Asistente	nccs	B-JOB
de	sp	I-JOB
operaciones	ncfp	I-JOB
Agencia	ncfs	O
Miraflores	np00	B-LUG
.	fp	O

Funciones	ncfp	O
:	fd	O

Formular	vmn	B-FUN
,	fc	I-FUN
programar	vmn	I-FUN
y	cc	I-FUN
ejecutar	vmn	I-FUN
las	da0fp	I-FUN
actividades	ncfp	I-FUN
de	sp	I-FUN
control	ncms	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
diversas	aqfp	I-FUN
operaciones	ncfp	I-FUN
derivadas	aqfp	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
captaciones	ncfp	I-FUN
de	sp	I-FUN
ahorros	ncmp	I-FUN
y	cc	I-FUN
creditos	vmi	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
agencia	ncfs	I-FUN
a	sp	I-FUN
la	da0fs	I-FUN
que	pr0cn	I-FUN
pertenece	vmi	I-FUN
e	cc	O
informar	vmn	B-FUN
el	da0ms	I-FUN
desarrollo	ncms	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
mismas	aqfp	I-FUN
al	sp	I-FUN
administrador	ncms	I-FUN
.	fp	O

Requerimientos	ncmp	O
:	fd	O

Egresado	ncms	O
universitario	aqms	O
o	cc	O
egresado	ncms	O
técnico	aqms	B-REQ
profesional	aqcs	I-REQ
de	sp	O
carreras	ncfp	O
de	sp	O
ciencias	np00	B-CARR
administrativas	np00	I-CARR
,	fc	O
económicas	np00	B-CARR
,	fc	O
contables	np00	B-CARR
,	fc	O
marketing	np00	B-CARR
,	fc	O
ciencias	np00	B-CARR
de	sp	I-CARR
la	da0fs	I-CARR
comunicación	np00	I-CARR
,	fc	O
ingenierías	np00	B-CARR
,	fc	O
computación	np00	B-CARR
e	cc	I-CARR
informática	np00	I-CARR
,	fc	O
secretariado	np00	B-CARR
ejecutivo	np00	I-CARR
,	fc	O
computación	np00	B-CARR
,	fc	O
secretariado	np00	B-CARR
,	fc	O
banca	np00	B-CARR
y	cc	I-CARR
finanzas	np00	I-CARR
o	cc	O
administración	np00	B-CARR
bancaria	np00	I-CARR
.	fp	O

Otros	pi0mp	O
:	fd	O

Comprobada	vmp	O
solvencia	ncfs	B-REQ
moral	aqcs	I-REQ
.	fp	O

No	rn	O
contar	vmn	O
con	sp	O
antecedentes	ncmp	O
penales	aqcp	O
,	fc	O
judiciales	aqcp	O
y	cc	O
policiales	aqcp	O
.	fp	O

