Asistente	nccs	B-JOB
de	sp	I-JOB
productos	ncmp	I-JOB
terminados	aqmp	I-JOB
(	fpa	O
congelados	aqmp	O
)	fpt	O
-	fg	O
Chincha	np00	B-LUG
.	fp	O

Funciones	ncfp	O
:	fd	O

Manejar	vmn	B-FUN
y	cc	I-FUN
controlar	vmn	I-FUN
los	da0mp	I-FUN
stock	ncmp	I-FUN
,	fc	I-FUN
a	sp	O
fin	ncms	O
de	sp	O
tener	vmn	B-FUN
organizada	vmp	I-FUN
las	da0fp	I-FUN
camaras	ncfp	I-FUN
buscando	vmg	I-FUN
los	da0mp	I-FUN
espacios	ncmp	I-FUN
adecuados	aqmp	I-FUN
que	pr0cn	I-FUN
proporcionen	vms	I-FUN
un	di0ms	I-FUN
almacenamiento	ncms	I-FUN
óptimo	aqms	I-FUN
.	fp	O

Coordinar	vmn	B-FUN
con	sp	I-FUN
el	da0ms	I-FUN
área	ncfs	I-FUN
de	sp	I-FUN
calidad	ncfs	I-FUN
,	fc	I-FUN
para	sp	I-FUN
que	pr0cn	I-FUN
se	p0000	I-FUN
realice	vms	I-FUN
los	da0mp	I-FUN
muestreos	ncmp	I-FUN
y	cc	I-FUN
se	p0000	I-FUN
asigne	vmi	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
según	sp	I-FUN
resultados	ncmp	I-FUN
(	fpa	I-FUN
carga	ncfs	I-FUN
microbiológica	aqfs	I-FUN
)	fpt	I-FUN
.	fp	O

Verificar	vmn	B-FUN
que	cs	I-FUN
los	da0mp	I-FUN
procesos	ncmp	I-FUN
de	sp	I-FUN
asignación	ncfs	I-FUN
se	p0000	I-FUN
cumplan	vms	I-FUN
para	sp	I-FUN
poder	vmn	I-FUN
realizar	vmn	I-FUN
la	da0fs	I-FUN
venta	ncfs	I-FUN
o	cc	I-FUN
despacho	ncms	I-FUN
efectivamente	rg	I-FUN
.	fp	O

Monitorear	vmn	B-FUN
las	da0fp	I-FUN
cámaras	ncfp	I-FUN
de	sp	I-FUN
almacenamiento	ncms	I-FUN
,	fc	I-FUN
a	sp	I-FUN
fin	ncms	I-FUN
de	sp	I-FUN
determinar	vmn	I-FUN
el	da0ms	I-FUN
espacio	ncms	I-FUN
y	cc	I-FUN
verificar	vmn	I-FUN
las	da0fp	I-FUN
condiciones	ncfp	I-FUN
de	sp	I-FUN
temperatura	ncfs	I-FUN
para	sp	I-FUN
la	da0fs	I-FUN
conservación	ncfs	I-FUN
de	sp	I-FUN
productos	ncmp	I-FUN
.	fp	O

Realizar	vmn	B-FUN
la	da0fs	I-FUN
aplicación	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
procedimientos	ncmp	I-FUN
de	sp	I-FUN
acuerdo	ncms	I-FUN
a	sp	I-FUN
las	da0fp	I-FUN
buenas	aqfp	I-FUN
practicas	vmi	I-FUN
de	sp	I-FUN
manufactura	ncfs	I-FUN
,	fc	O
a	sp	O
fin	ncms	O
de	sp	O
que	pr0cn	O
se	p0000	O
mantenga	vms	B-FUN
la	da0fs	I-FUN
inocuidad	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
.	fp	O

Aplicación	ncfs	B-FUN
del	sp	I-FUN
programa	ncms	I-FUN
de	sp	I-FUN
saneamiento	ncms	I-FUN
,	fc	O
para	sp	O
que	cs	O
los	da0mp	O
productos	ncmp	O
se	p0000	O
encuentren	vms	O
en	sp	O
buenas	aqfp	O
condiciones	ncfp	O
y	cc	O
aptos	aqmp	O
para	sp	O
el	da0ms	O
despacho	ncms	O
.	fp	O

Realizar	vmn	B-FUN
la	da0fs	I-FUN
documentación	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
liquidación	ncfs	I-FUN
de	sp	I-FUN
embarque	ncms	I-FUN
dependiendo	vmg	I-FUN
del	sp	I-FUN
despacho	ncms	I-FUN
.	fp	O

Requerimientos	ncmp	O
:	fd	O

Bachiller	ncms	O
de	sp	O
la	da0fs	O
carrera	ncfs	O
de	sp	O
ingeniería	np00	B-CARR
pesquera	np00	I-CARR
,	fc	O
industrial	np00	B-CARR
o	cc	O
industrias	np00	B-CARR
alimentarias	np00	I-CARR
o	cc	O
afines	aqcp	B-CARR
.	fp	O

Conocimiento	ncms	O
de	sp	O
reglas	ncfp	B-REQ
sanitarias	aqfp	I-REQ
y	cc	O
movilización	ncfs	B-REQ
de	sp	I-REQ
producto	ncms	I-REQ
.	fp	O

Experiencia	ncfs	O
de	sp	O
2	z	O
años	ncmp	O
en	sp	O
empaquetado	ncms	B-FUN
del	sp	I-FUN
producto	ncms	I-FUN
final	aqcs	I-FUN
y	cc	O
manejo	ncms	O
de	sp	O
proceso	ncms	B-REQ
congelado	aqms	I-REQ
.	fp	O

Manejo	ncms	O
de	sp	O
SAP	np00	B-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
.	fp	O

Disponibilidad	ncfs	O
para	sp	O
trabajar	vmn	O
en	sp	O
Chincha	np00	B-LUG
.	fp	O

