Ingeniero	ncms	B-JOB
operacional	aqcs	I-JOB
de	sp	I-JOB
hidrometalurgía	ncfs	I-JOB
.	fp	O

Funciones	ncfp	O
:	fd	O

Asesorar	vmn	B-FUN
en	sp	I-FUN
la	da0fs	I-FUN
planificación	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
producción	ncfs	I-FUN
mensual	aqcs	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
plantas	ncfp	I-FUN
de	sp	I-FUN
hidrometalurgia	ncms	I-FUN
de	sp	I-FUN
acuerdo	ncms	I-FUN
al	sp	I-FUN
presupuesto	ncms	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN

Asesorar	vmn	B-FUN
en	sp	I-FUN
la	da0fs	I-FUN
operación	ncfs	I-FUN
,	fc	I-FUN
proceso	ncms	I-FUN
,	fc	I-FUN
calidad	ncfs	I-FUN
y	cc	I-FUN
volumen	ncms	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN
de	sp	I-FUN
solución	ncfs	I-FUN
pura	aqfs	I-FUN
de	sp	I-FUN
zinc	np00	I-FUN
.	fp	O

Asesorar	vmn	B-FUN
en	sp	I-FUN
la	da0fs	I-FUN
operación	ncfs	I-FUN
y	cc	I-FUN
proceso	ncms	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN
de	sp	I-FUN
concentrado	aqms	I-FUN
de	sp	I-FUN
Ag	np00	I-FUN
,	fc	I-FUN
manteniendo	vmg	I-FUN
la	da0fs	I-FUN
calidad	ncfs	I-FUN
y	cc	I-FUN
volumen	ncms	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN
.	fp	O

Asesorar	vmn	B-FUN
en	sp	I-FUN
la	da0fs	I-FUN
operación	ncfs	I-FUN
y	cc	I-FUN
el	da0ms	I-FUN
proceso	ncms	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN
de	sp	I-FUN
Indio	np00	I-FUN
y	cc	I-FUN
Cadmio	np00	I-FUN
,	fc	I-FUN
manteniendo	vmg	I-FUN
la	da0fs	I-FUN
calidad	ncfs	I-FUN
y	cc	I-FUN
volumen	ncms	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN
.	fp	O

Apoyar	vmn	B-FUN
en	sp	I-FUN
el	da0ms	I-FUN
