Gerente	nccs	B-JOB
del	sp	I-JOB
mantenimiento	ncms	I-JOB
.	fp	O

Funciones	ncfp	O
:	fd	O

Elaborar	vmn	B-FUN
el	da0ms	I-FUN
presupuesto	ncms	I-FUN
Capex	np00	I-FUN
y	cc	I-FUN
Rym	np00	I-FUN
anual	aqcs	I-FUN
del	sp	I-FUN
hotel	ncms	I-FUN
en	sp	I-FUN
lo	da0ns	I-FUN
que	pr0cn	I-FUN
respecta	vmi	I-FUN
a	sp	I-FUN
equipos	ncmp	I-FUN
,	fc	I-FUN
instalaciones	ncfp	I-FUN
e	cc	I-FUN
infraestructura	ncfs	I-FUN
.	fp	O

Elaborar	vmn	B-FUN
y	cc	I-FUN
desarrollar	vmn	I-FUN
programas	ncmp	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
preventivo	aqms	I-FUN
y	cc	I-FUN
correctivo	ncms	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
instalaciones	ncfp	I-FUN
,	fc	I-FUN
infraestructura	ncfs	I-FUN
y	cc	I-FUN
equipos	ncmp	I-FUN
del	sp	I-FUN
hotel	ncms	I-FUN
.	fp	O

Coordinar	vmn	B-FUN
y	cc	I-FUN
supervisar	vmn	I-FUN
los	da0mp	I-FUN
trabajos	ncmp	I-FUN
a	sp	I-FUN
realizarse	vmn	I-FUN
en	sp	I-FUN
el	da0ms	I-FUN
hotel	ncms	I-FUN
por	sp	I-FUN
empresas	ncfp	I-FUN
externas	aqfp	I-FUN
.	fp	O

Solicitar	vmn	B-FUN
artículos	ncmp	I-FUN
para	sp	I-FUN
abastecer	vmn	I-FUN
almacén	vmn	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
al	sp	I-FUN
almacen	ncms	I-FUN
central	aqcs	I-FUN
.	fp	O

Registrar	vmn	B-FUN
el	da0ms	I-FUN
ingreso	ncms	I-FUN
y	cc	I-FUN
salida	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
articulos	ncmp	I-FUN
del	sp	I-FUN
almacén	ncms	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
.	fp	O

Revisar	vmn	B-FUN
el	da0ms	I-FUN
cumplimiento	ncms	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
órdenes	ncfp	I-FUN
de	sp	I-FUN
servicio	ncms	I-FUN
,	fc	I-FUN
solicitadas	aqfp	I-FUN
por	sp	I-FUN
las	da0fp	I-FUN
diferentes	di0cp	I-FUN
áreas	ncfp	I-FUN
.	fp	O

Enviar	vmn	B-FUN
informes	ncmp	I-FUN
mensuales	aqcp	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
actividades	ncfp	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
.	fp	O

Apoyar	vmn	B-FUN
y	cc	I-FUN
coordinar	vmn	I-FUN
en	sp	I-FUN
las	da0fp	I-FUN
actividades	ncfp	I-FUN
y	cc	I-FUN
eventos	ncmp	I-FUN
que	pr0cn	I-FUN
se	p0000	I-FUN
organicen	vms	I-FUN
en	sp	I-FUN
el	da0ms	I-FUN
hotel	ncms	I-FUN
.	fp	O

Elaborar	vmn	B-FUN
el	da0ms	I-FUN
presupuesto	ncms	I-FUN
Capex	np00	I-FUN
y	cc	I-FUN
Rym	np00	I-FUN
anual	aqcs	I-FUN
del	sp	I-FUN
hotel	ncms	I-FUN
en	sp	I-FUN
lo	da0ns	I-FUN
que	pr0cn	I-FUN
respecta	vmi	I-FUN
a	sp	I-FUN
equipos	ncmp	I-FUN
,	fc	I-FUN
instalaciones	ncfp	I-FUN
e	cc	I-FUN
infraestructura	ncfs	I-FUN
.	fp	O

Elaborar	vmn	B-FUN
y	cc	I-FUN
desarrollar	vmn	I-FUN
programas	ncmp	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
preventivo	aqms	I-FUN
y	cc	I-FUN
correctivo	ncms	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
instalaciones	ncfp	I-FUN
,	fc	I-FUN
infraestructura	ncfs	I-FUN
y	cc	I-FUN
equipos	ncmp	I-FUN
del	sp	I-FUN
hotel	ncms	I-FUN
.	fp	O

Coordinar	vmn	B-FUN
y	cc	I-FUN
supervisar	vmn	I-FUN
los	da0mp	I-FUN
trabajos	ncmp	I-FUN
a	sp	I-FUN
realizarse	vmn	I-FUN
en	sp	I-FUN
el	da0ms	I-FUN
hotel	ncms	I-FUN
por	sp	I-FUN
empresas	ncfp	I-FUN
externas	aqfp	I-FUN
.	fp	O

Solicitar	vmn	B-FUN
artículos	ncmp	I-FUN
para	sp	I-FUN
abastecer	vmn	I-FUN
almacen	vmn	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
al	sp	I-FUN
almacén	ncms	I-FUN
central	aqcs	I-FUN
.	fp	O

Registrar	vmn	B-FUN
el	da0ms	I-FUN
ingreso	ncms	I-FUN
y	cc	I-FUN
salida	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
articulos	ncmp	I-FUN
del	sp	I-FUN
almacén	ncms	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
.	fp	O

Revisar	vmn	B-FUN
el	da0ms	I-FUN
cumplimiento	ncms	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
órdenes	ncfp	I-FUN
de	sp	I-FUN
servicio	ncms	I-FUN
,	fc	I-FUN
solicitadas	aqfp	I-FUN
por	sp	I-FUN
las	da0fp	I-FUN
diferentes	di0cp	I-FUN
áreas	ncfp	I-FUN
.	fp	O

Enviar	vmn	B-FUN
informes	ncmp	I-FUN
mensuales	aqcp	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
actividades	ncfp	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
.	fp	O

Apoyar	vmn	B-FUN
y	cc	I-FUN
coordinar	vmn	I-FUN
en	sp	I-FUN
las	da0fp	I-FUN
actividades	ncfp	I-FUN
y	cc	I-FUN
eventos	ncmp	I-FUN
que	pr0cn	I-FUN
