Asistente	nccs	B-JOB
de	sp	I-JOB
gestión	ncfs	I-JOB
.	fp	O

Funciones	ncfp	O
:	fd	O

Elaborar	vmn	B-FUN
indicadores	ncmp	I-FUN
de	sp	I-FUN
ventas	ncfp	I-FUN

Análisis	ncms	B-FUN
de	sp	I-FUN
reportes	ncmp	I-FUN
y	cc	O
balances	ncmp	B-FUN
de	sp	I-FUN
temas	ncmp	I-FUN
financieros	aqmp	I-FUN

Manejo	ncms	B-FUN
de	sp	I-FUN
agenda	ncfs	I-FUN
y	cc	O
seguimiento	ncms	B-FUN
de	sp	I-FUN
pendientes	aqcp	I-FUN
a	sp	I-FUN
las	da0fp	I-FUN
gerencias	ncfp	I-FUN
y	cc	I-FUN
jefaturas	ncfp	I-FUN

Requerimientos	ncmp	O
:	fd	O

Universitario	ncms	O
bachillerato	ncms	O
en	sp	O
matemáticas	np00	B-CARR
.	fp	O

Experiencia	ncfs	O
:	fd	O

En	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
administración	ncfs	B-AREA
/	fh	O
servicios	ncmp	B-AREA
generales	aqcp	I-AREA
con	sp	O
1	z	O
año	ncms	O
de	sp	O
experiencia	ncfs	O
.	fp	O

Egresados	ncmp	O
o	cc	O
bachiller	ncms	O
de	sp	O
la	da0fs	O
carrera	ncfs	O
de	sp	O
Investigación	np00	B-CARR
Operativa	np00	I-CARR
,	fc	O
Matemática	np00	B-CARR
,	fc	O
Estadística	np00	B-CARR
o	cc	O
Ingenería	np00	B-CARR
Industrial	np00	I-CARR
.	fp	O

Con	sp	O
experiencia	ncfs	O
mayor	aqcs	O
a	sp	O
6	z	O
meses	ncmp	O
en	sp	O
labores	ncfp	O
de	sp	O
gestión	ncfs	B-REQ
administrativa	aqfs	I-REQ
o	cc	I-REQ
comercial	aqcs	I-REQ
,	fc	O
planeamiento	ncms	B-REQ
.	fp	O

Manejo	ncms	O
de	sp	O
balance	ncms	B-REQ
score	np00	I-REQ
card	np00	I-REQ
,	fc	O
cuadro	ncms	B-REQ
de	sp	I-REQ
mando	ncms	I-REQ
y	cc	O
excel	np00	B-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
-	fg	O
avanzado	aqms	O

