Asistente	nccs	B-JOB
de	sp	I-JOB
Recursos	ncmp	I-JOB
Humanos	aqmp	I-JOB
.	fp	O

Funciones	ncfp	O
:	fd	O

Requerimientos	ncmp	O
:	fd	O

Universitario	ncms	O
bachillerato	ncms	O
en	sp	O
administración	np00	B-CARR
.	fp	O

Universitario	ncms	O
bachillerato	ncms	O
en	sp	O
contabilidad	np00	B-CARR
.	fp	O

Universitario	ncms	O
bachillerato	ncms	O
en	sp	O
relaciones	np00	B-CARR
industriales	np00	I-CARR
.	fp	O

Universitario	ncms	O
bachillerato	ncms	O
en	sp	O
psicología	np00	B-CARR
organizacional	np00	I-CARR
.	fp	O

Universitario	ncms	O
bachillerato	ncms	O
en	sp	O
ingeniería	np00	B-CARR
industrial	np00	I-CARR
.	fp	O

Experiencia	ncfs	O
:	fd	O

En	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
recursos	ncmp	B-AREA
humanos	aqmp	I-AREA
con	sp	O
2	z	O
años	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

Manejo	ncms	O
de	sp	O
programas	ncmp	O
:	fd	O

Microsoft	np00	B-REQ
Excel	np00	I-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
.	fp	O

