Auxiliar	nc	B-JOB
para	sp	I-JOB
RRHH	np	I-JOB

Jóvenes	nc	O
y	cc	O
señoritas	nc	O
con	sp	O
conocimiento	nc	O
de	sp	O
Office	np	B-REQ
,	fc	O
no	rn	O
mayor	adj	O
de	sp	O
26	z	O
años	nc	O
,	fc	O
buena	adj	O
presencia	nc	O
,	fc	O
buen	adj	B-BEN
ambiente	nc	I-BEN
de	sp	I-BEN
trabajo	nc	I-BEN
para	sp	O
trabajar	vmn	O
en	sp	O
equipo	nc	O
.	fp	O
Enviar	vmi	O
c	np	O
.	fp	O
v	np	O
.	fp	O
con	sp	O
foto	nc	O
a	sp	O
e	np	O
mail	np	O
xxx	np	B-MISC
#	fz	I-MISC
#	fz	I-MISC
#	fz	I-MISC
@	fz	I-MISC
xxxxx	np	I-MISC
.	fp	I-MISC
xx	np	I-MISC
,	fc	O
poner	vmn	O
en	sp	O
el	det	O
asunto	nc	O
Auxiliar	nc	B-JOB
para	sp	I-JOB
RRHH	np	I-JOB
o	cc	O
presentarce	vmi	O
de	sp	O
lunes	w	B-DATE
a	sp	I-DATE
viernes	w	I-DATE
a	sp	O
las	det	O
7:30	w	B-DATE
en	sp	O
la	det	O
calle	nc	B-LUG
san	np	I-LUG
andrés	vmi	I-LUG
6194	z	I-LUG
los	np	I-LUG
olivos	np	I-LUG
(	fpa	O
a	sp	O
espaldas	nc	O
de	sp	O
la	det	O
universidad	nc	B-LUG
césar	np	I-LUG
vallejo	np	I-LUG
,	fc	O
paradero	nc	B-LUG
yambal	np	I-LUG
)	fpt	O
o	cc	O
llamar	vmn	O
al	sp	O
537	z	B-MISC
-	fg	I-MISC
0550	z	I-MISC
anexo	nc	I-MISC
432	z	I-MISC
.	fp	O
xxx	np	B-MISC
#	fz	I-MISC
#	fz	I-MISC
#	fz	I-MISC
@	fz	I-MISC
xxxxx	np	I-MISC
.	fp	I-MISC
xx	np	I-MISC

