Tecnólogo	nc	B-JOB
Médico	adj	I-JOB
-	fg	O
TACNA	np	B-LUG

Importante	adj	O
Clínica	nc	O
de	sp	O
Exámenes	nc	O
Médicos	adj	O
,	fc	O
requiere	vmi	O
con	sp	O
suma	nc	O
urgencia	nc	O
profesionales	nc	B-REQ
Titulados	adj	I-REQ
y/o	cc	O
bachilleres	adj	O
en	sp	O
TECNOLOGIA	np	B-CARR
MEDICA	np	I-CARR
,	fc	O
con	sp	O
experiencia	nc	O
en	sp	O
la	det	O
toma	nc	B-FUN
de	sp	I-FUN
exámenes	nc	I-FUN
Tomografía	nc	I-FUN
especialmente	rg	I-FUN
,	fc	I-FUN
radiología	nc	I-FUN
,	fc	I-FUN
ecografías	nc	I-FUN
,	fc	O
para	sp	O
la	det	O
ciudad	nc	O
de	sp	O
Tacna	np	B-LUG
.	fp	O

Los	det	O
Tecnólogos	np	B-CARR
Médicos	np	I-CARR
de	sp	O
la	det	O
ciudad	nc	O
de	sp	O
Lima	np	B-LUG
,	fc	O
o	cc	O
de	sp	O
cualquier	det	O
ciudad	nc	O
del	sp	O
país	nc	O
,	fc	O
que	cs	O
estén	vas	O
interesados	vmp	O
en	sp	O
el	det	O
puesto	nc	O
,	fc	O
tendrán	vmi	O
bonos	nc	B-BEN
adicionales	adj	I-BEN
,	fc	O
que	pron	O
le	pron	O
permitirá	vmi	O
cubrir	vmn	B-BEN
su	det	I-BEN
alimentación	nc	I-BEN
y	cc	I-BEN
su	det	I-BEN
vivienda	nc	I-BEN
en	sp	O
la	det	O
ciudad	nc	O
de	sp	O
Tacna	np	B-LUG
.	fp	O

No	rn	O
se	pron	O
requiere	vmi	O
de	sp	O
gran	adj	O
experiencia	nc	O
,	fc	O
ya	cs	O
que	cs	O
la	det	O
clínica	nc	O
con	sp	O
el	det	O
equipamiento	nc	O
sofisticado	adj	O
y	cc	O
de	sp	O
tecnología	nc	O
capacitará	adj	O
al	sp	O
personal	nc	O
.	fp	O

REQUISITOS	nc	O
:	fd	O

*	fz	O
Titulado	adj	B-REQ
o	cc	O
Bachiller	adj	O
como	cs	O
Tecnólogo	np	B-CARR
Medico	np	I-CARR
.	fp	O

*	fz	O
Experiencia	nc	O
en	sp	O
la	det	O
realización	nc	B-FUN
de	sp	I-FUN
estudios	nc	I-FUN
y	cc	I-FUN
diagnósticos	nc	I-FUN
,	fc	I-FUN
sobre	sp	I-FUN
todo	pron	I-FUN
en	sp	I-FUN
Tomografía	np	I-FUN
.	fp	O
(	fpa	O
Indispensable	adj	O
)	fpt	O

*	fz	O
Profesionales	nc	O
con	sp	O
capacidad	nc	B-REQ
analítica	adj	I-REQ
,	fc	O
resolutivo	adj	B-REQ
,	fc	O
con	sp	O
capacidad	nc	O
para	sp	O
resolver	vmn	O
aspectos	nc	O
relacionados	adj	O
a	sp	O
la	det	O
especialidad	nc	O
.	fp	O

*	fz	O
Experiencia	nc	O
:	fd	O
No	rn	O
menor	adj	O
de	sp	O
06	z	O
meses	nc	O
en	sp	O
instituciones	nc	O
de	sp	O
salud	nc	B-AREA
pública	adj	I-AREA
y/o	cc	I-AREA
privada	adj	I-AREA
.	fp	O

BENEFICIOS	nc	O
.	fp	O

*	fz	O
Remuneración	nc	O
acorde	adj	B-SAL
a	sp	I-SAL
Mercado	nc	I-SAL
.	fp	O
(	fpa	O
Pago	nc	O
por	sp	O
planilla	nc	B-BEN
)	fpt	O

*	fz	O
Pago	nc	B-BEN
de	sp	I-BEN
Asignación	nc	I-BEN
Familiar	adj	I-BEN
.	fp	O

*	fz	O
Contrato	nc	B-BEN
de	sp	I-BEN
Trabajo	nc	I-BEN
Indefinido	adj	I-BEN
.	fp	O

*	fz	O
Pago	nc	O
de	sp	O
Beneficios	nc	B-BEN
Sociales	adj	I-BEN
(	fpa	O
Vacaciones	nc	B-BEN
,	fc	O
Gratificaciones	nc	B-BEN
,	fc	O
CTS	np	B-BEN
)	fpt	O
.	fp	O

*	fz	O
Pago	nc	O
de	sp	O
Bonos	nc	B-BEN
e	cc	O
incentivos	nc	B-BEN
.	fp	O

*	fz	O
Seguro	nc	B-BEN
Médico	adj	I-BEN
.	fp	O

*	fz	O
Pago	nc	O
de	sp	O
Utilidades	nc	B-BEN

*	fz	O
Entre	sp	O
otros	det	O
beneficios	nc	O
.	fp	O

Los	det	O
interesados	adj	O
presentarse	vmn	O
en	sp	O
la	det	O
Av	np	B-LUG
.	fp	I-LUG
General	np	I-LUG
Garzón	np	I-LUG
1283	z	I-LUG
,	fc	O
oficina	nc	B-LUG
913	z	I-LUG
,	fc	O
JESUS	np	B-LUG
MARIA	np	I-LUG
,	fc	O
(	fpa	O
Altura	nc	O
de	sp	O
la	det	O
cuadra	nc	B-LUG
12	z	I-LUG
de	sp	I-LUG
la	det	I-LUG
av	np	I-LUG
.	fp	I-LUG
Brasil	np	I-LUG
)	fpt	O
.	fp	O
LIMA	np	B-LUG
Teléfonos	nc	O
.	fp	O
994609744	z	B-MISC
/	fh	O
959861531	z	B-MISC
Atención	nc	O
de	sp	O
8.00	w	B-DATE
am	w	I-DATE
.	fp	I-DATE
a	sp	I-DATE
7.00	w	I-DATE
p.m	w	I-DATE
.	fp	O

